Country,Global Health Security Index,Confirmed Cases,Deaths,Case-Fatality,Deaths/100k pop.
Afghanistan,32.30,6053.00,153.00,0.03,0.41
Albania,52.90,916.00,31.00,0.03,1.08
Algeria,23.60,6629.00,536.00,0.08,1.27
Andorra,30.50,761.00,49.00,0.06,63.63
Antigua and Barbuda,29.00,64.00,3.00,0.12,3.12
Argentina,58.60,7479.00,356.00,0.05,0.80
Armenia,50.20,4044.00,52.00,0.01,1.76
Australia,75.50,7035.00,98.00,0.01,0.39
Austria,58.50,16109.00,628.00,0.04,7.10
Azerbaijan,34.20,2980.00,36.00,0.01,0.36
Bahrain,39.40,759.00,12.00,0.00,0.76
Bangladesh,35.00,20065.00,298.00,0.02,0.18
Barbados,31.90,235.00,7.00,0.08,2.44
Belarus,35.30,27730.00,156.00,0.01,1.64
Belgium,61.00,54644.00,8959.00,0.16,78.44
Bolivia,35.80,3577.00,164.00,0.05,1.44
Bosnia and Herzegovina,42.80,2236.00,128.00,0.06,3.85
Brazil,59.70,220291.00,14962.00,0.07,7.14
Bulgaria,45.60,2138.00,102.00,0.05,1.45
Burkina Faso,30.10,780.00,51.00,0.07,0.26
Cameroon,34.40,3105.00,140.00,0.05,0.56
Canada,75.30,75959.00,5679.00,0.08,15.32
Chad,28.80,428.00,48.00,0.11,0.31
Chile,58.30,39542.00,394.00,0.01,2.10
China,48.20,84038.00,4637.00,0.06,0.33
Colombia,44.20,14216.00,546.00,0.04,1.10
Congo (Brazzaville),23.60,106.00,15.00,0.04,0.29
Congo (Democratic Republic),26.50,1298.00,50.00,0.04,0.06
Costa Rica,45.10,511.00,9.00,0.01,0.18
Cote d'Ivoire,35.50,2017.00,24.00,0.01,0.10
Croatia,53.30,2222.00,95.00,0.04,2.32
Cuba,35.20,1840.00,79.00,0.04,0.70
Cyprus,43.00,391.00,17.00,0.02,1.43
Czech Republic,52.00,8406.00,295.00,0.04,2.78
Denmark,70.40,10989.00,537.00,0.05,9.26
Djibouti,23.20,236.00,4.00,0.00,0.42
Dominican Republic,38.30,11739.00,424.00,0.04,3.99
Ecuador,50.10,31467.00,2594.00,0.08,15.18
Egypt,39.90,11228.00,592.00,0.05,0.60
El Salvador,44.20,1210.00,25.00,0.02,0.39
Equatorial Guinea,16.20,85.00,7.00,0.01,0.53
Estonia,57.00,1766.00,63.00,0.04,4.77
Ethiopia,40.60,96.00,5.00,0.02,0.00
Finland,68.70,6228.00,293.00,0.05,5.31
France,68.20,179630.00,27532.00,0.15,41.10
Gabon,20.00,332.00,10.00,0.01,0.47
Georgia,52.00,6583.00,12.00,0.02,0.32
Germany,66.00,175233.00,7897.00,0.05,9.52
